state,action_date,naics_description,transaction_description,total_dollars_obligated,current_total_value_of_award,potential_total_value_of_award,object,program
,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",0.0,,358872672.7,,
,2020,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO AUTHORIZE THE USMS TO USE CENTRAL VALLEY ANNEX,0.0,,1582231743.77,,
,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
DISTRICT OF COLUMBIA,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",5954409.91,5954409.91,5954409.91,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",0.0,,358872672.7,,
TEXAS,2020,CORRECTIONAL INSTITUTIONS,FY20 TO FOR DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),52170273.18,52170273.18,52170273.18,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION IS TO PROVIDING FUNDING.,32933687.75,32933687.75,32933687.75,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,27406192.68,27406192.68,27406192.68,,
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION IS TO PROVIDING FUNDING.,32933687.75,32933687.75,32933687.75,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION IS TO MOVE FUNDS.,32933687.75,32933687.75,32933687.75,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER SERVICES,2461336.74,2461336.74,2461336.74,21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,211163715.84,,
TEXAS,2020,FACILITIES SUPPORT SERVICES,"MONTGOMERY PROCESSING CENTER, HOUSTON",40268189.97,40268189.97,40268189.97,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT MESA VERDE,13525413.8,21249254.16,21249254.16,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO CHANGE GOLDEN STATE GUARANTEED MINIMUM START DATE,0.0,,1582231743.77,,
TEXAS,2020,CORRECTIONAL INSTITUTIONS,FY20 TO FOR DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),52170273.18,52170273.18,52170273.18,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,CORRECTIONAL INSTITUTIONS,DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),0.0,,564052290.6,,
,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,211098980.46,,
TEXAS,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER SERVICES,2371336.74,2371336.74,2371336.74,21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER (HOUSTON),36913765.05,36913765.05,36913765.05,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,FACILITIES SUPPORT SERVICES,HOUSTON DETENTION FACILITY,36913765.05,36913765.05,36913765.05,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
WASHINGTON,2020,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",63811970.64,63811970.64,63811970.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO ADD ODC REIMBURSEMENT TO PURCHASE PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR EMPLOYEES AND DETAINEES AT MESA VERDE DETENTION FACILITY FOR COVID-19.,0.0,,1582231743.77,,
COLORADO,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",51134218.91,51134218.91,51134218.91,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION P00004 IS TO ADD FUNDING TO REIMBURSABLE CLIN 0008 TO FACILITATE THE PURCHASE OF PPE FOR THE DETAINEE POPULATION HOUSED AT THE ADELANTO DETENTION FACILITY,90522259.64,90522259.64,90522259.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,5854685.1,5854685.1,5854685.1,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION P00003 IS TO ADD REIMBURSABLE CLIN 0008 TO FACILITATE THE PURCHASE OF PPE FOR THE DETAINEE POPULATION HOUSED AT THE ADELANTO DETENTION FACILITY IN SUPPORT COVID 19.,0.0,,2283719987.22,,
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION P00005 IS TO ADD FUND REIMBURSABLE CLIN 0008 TO FACILITATE THE PURCHASE OF PPE FOR THE DETAINEE POPULATION HOUSED AT THE MESA VERDE DETENTION FACILITY IN SUPPORT OF THE FACILITY COVID 19 RESPONSE.,32933687.75,32933687.75,32933687.75,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2020,FACILITIES SUPPORT SERVICES,SERVICES AT BROWARD TRANSITIONAL CENTER,16066916.59,16066916.59,16066916.59,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,211098980.46,,
,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,211098980.46,,
,2020,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
FLORIDA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,28760821.09,28760821.09,28760821.09,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",0.0,,360286335.58,,
TEXAS,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER SERVICES,2161336.74,2161336.74,2161336.74,21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
GEORGIA,2020,CORRECTIONAL INSTITUTIONS,ROBERT A. DEYTON DETENTION FACILITY,3308537.04,3308537.04,3308537.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2020,FACILITIES SUPPORT SERVICES,DETENTION AND TRANSPORTATION SERVICES,64080701.07,64080701.07,64080701.07,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
TEXAS,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER SERVICES,2106424.74,2106424.74,2106424.74,21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,FACILITIES SUPPORT SERVICES,"MONTGOMERY PROCESSING CENTER, HOUSTON",40268189.97,40268189.97,40268189.97,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2020,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",63811970.64,63811970.64,63811970.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),33070163.14,33070163.14,33070163.14,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),0.0,,34333800.0,,
GEORGIA,2020,PERISHABLE PREPARED FOOD MANUFACTURING,PREPARE AND DELIVER PRE-PACKED DETAINEE MEALS.,36064.15,36064.15,117118.15,26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR FLIGHT LINE AND CEDAR HILL,0.0,0.0,0.0,25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION SERVICES FOR LOS ANGELES AOR,90522259.64,90522259.64,90522259.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION SERVICES FOR SAN FRANCISCO AREA OF RESPONSIBILITY,32933687.75,32933687.75,32933687.75,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",0.0,,359951318.58,,
,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,206846330.9,,
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),0.0,,34333800.0,,
,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,206846330.9,,
COLORADO,2020,FACILITIES SUPPORT SERVICES,"DETENTION SERVICES FOR AURORA, CO CDF",47687272.92,47687272.92,47687272.92,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
COLORADO,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",36559446.63,36559446.63,36559446.63,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2020,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",63811970.64,63811970.64,63811970.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
FLORIDA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,29691934.49,29691934.49,29691934.49,,
TEXAS,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER SERVICES,3716630.53,3716630.53,3716630.53,21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,FACILITIES SUPPORT SERVICES,SOUTH TEXAS DETENTION COMPLEX CONTRACT,51679433.42,51679433.42,51679433.42,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,NEW TASK ORDER MESA VERDE TASK ORDER POP: 12/21/19 - 12/20/20 FUNDING POP  12/21/19 - 1/31/2020 COR:NATHAN LINDSEY  661-328-4503,32933687.75,32933687.75,32933687.75,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION SERVICES FOR LOS ANGELES AOR,90522259.64,90522259.64,90522259.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,25131341.13,25131341.13,25131341.13,,
,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,206787120.5,,
TEXAS,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),24636263.14,24636263.14,24636263.14,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),0.0,,34333800.0,,
CALIFORNIA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES,37878569.3,37878569.3,37878569.3,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),0.0,,34333800.0,,
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION SERVICES FOR LOS ANGELES AOR,0.0,,2283719987.22,,
TEXAS,2020,FACILITIES SUPPORT SERVICES,HOUSTON DETENTION FACILITY,40268189.97,40268189.97,40268189.97,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
FLORIDA,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,5939314.04,5939314.04,5939314.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
TEXAS,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),24636263.14,24636263.14,24636263.14,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,NEW TASK ORDER PERIOD OF PERFORMANCE: 12/21/19 - 12/20/20 FUNDING POP: 12/21/19 - 01/31/20 COR: DANIEL POMPLUN FY 20 QTR 1 CR2 FUNDING,90522259.64,90522259.64,90522259.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2020,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",63811970.64,63811970.64,63811970.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
COLORADO,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",26133588.82,26133588.82,26133588.82,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,ADMINISTRATION OF HOUSING PROGRAMS,DETAINEE HOUSING COST FOR EMERGENCY SITUATION-INCLEMENT WEATHER,1227.3,1227.3,1227.3,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,NEW TASK ORDER MESA VERDE TASK ORDER POP: 12/21/19 - 12/20/20 FUNDING POP  12/21/19 - 1/31/2020 COR:NATHAN LINDSEY  661-328-4503,32933687.75,32933687.75,32933687.75,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,17056741.13,17056741.13,17056741.13,,
WASHINGTON,2020,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",63811970.64,63811970.64,63811970.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),12453914.49,12453914.49,12453914.49,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR FLIGHT LINE AND CEDAR HILL,0.0,0.0,0.0,25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,5939314.04,5939314.04,5939314.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),0.0,,34333800.0,,
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,NEW TASK ORDER MESA VERDE TASK ORDER POP: 12/21/19 - 12/20/20 FUNDING POP  12/21/19 - 1/31/2020 COR:NATHAN LINDSEY  661-328-4503,32933687.75,32933687.75,32933687.75,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
TEXAS,2020,FACILITIES SUPPORT SERVICES,HOUSTON DETENTION FACILITY,38224630.37,38224630.37,38224630.37,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,13582248.88,13582248.88,13582248.88,,
,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,206787120.5,,
TEXAS,2020,FACILITIES SUPPORT SERVICES,HOUSTON DETENTION FACILITY,38224630.37,38224630.37,38224630.37,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION SERVICES FOR LOS ANGELES AOR,0.0,,2283719987.22,,
CALIFORNIA,2018,SECURITY GUARDS AND PATROL SERVICES,"IGF::CL::IGF DETENTION SERVICES AT THE WESTERN REGION DETENTION FACILITY IN SAN DIEGO, CA",31238.46,31238.46,31238.46,25.4: Operation and maintenance of facilities,
WASHINGTON,2018,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, TRANSPORTATION AND FOOD SERVICES",65718510.49,65718510.49,65718510.49,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
FLORIDA,2017,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,9890800.46,9890800.46,9890800.46,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
FLORIDA,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,25.2: Other services from non-Federal sources;25.3: Other goods and services from Federal sources,
TEXAS,2017,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF DHS BULK CLOSE OUT,,,,,
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::OT::IGF DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,50337388.49,50337388.49,50337388.49,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,
NEW YORK,2017,,DHS BULK CLOSE OUT,,,,,
